date,close,open,high,low,volume,pct_change,daily_return,cumulative_return,drawdown,ma20,ma50,ma200
2018-08-24,474.0,470.0,474.0,470.0,4640.0,0.0021,0.0021141649048626,-0.0145530145530142,-0.0778210116731514,469.92750000000007,472.232,
2018-08-27,474.0,473.9,474.0,473.9,17240.0,0.0,0.0,-0.0145530145530142,-0.0778210116731514,470.62750000000005,471.7720000000001,
2018-08-28,470.0,470.0,474.0,470.0,16120.000000000002,-0.0084,-0.0084388185654008,-0.0228690228690225,-0.0856031128404666,470.92750000000007,471.2720000000001,
2018-08-29,469.0,469.0,470.0,469.0,13880.0,-0.0021,-0.002127659574468,-0.0249480249480246,-0.0875486381322954,471.1175,470.75200000000007,
2018-08-30,473.0,473.0,473.0,469.0,228010.0,0.0085,0.0085287846481876,-0.0166320166320163,-0.0797665369649801,471.3200000000001,470.366,
2018-08-31,463.0,470.0,470.0,463.0,11080.0,-0.0210999999999999,-0.0211416490486258,-0.037422037422037,-0.0992217898832681,470.625,469.824,
2018-09-03,462.0,461.0,462.0,461.0,8020.0,-0.0022,-0.0021598272138229,-0.0395010395010392,-0.101167315175097,469.75,469.26200000000006,
2018-09-04,460.0,462.0,462.0,455.0,44430.0,-0.0043,-0.0043290043290042,-0.0436590436590433,-0.1050583657587546,469.1,468.728,
2018-09-05,454.85,455.05,456.0,454.85,47910.0,-0.0112,-0.0111956521739129,-0.054365904365904,-0.1150778210116728,468.4425,468.039,
2018-09-06,452.0,454.95,454.95,451.95,48910.0,-0.0063,-0.0062658019127185,-0.06029106029106,-0.1206225680933849,467.5924999999999,467.239,
2018-09-07,448.0,455.0,455.0,448.0,74620.0,-0.0088,-0.0088495575221239,-0.0686070686070683,-0.1284046692607,466.5424999999999,466.775,
2018-09-10,440.15,444.0,444.0,440.15,7290.0,-0.0175,-0.0175223214285714,-0.0849272349272346,-0.1436770428015561,465.3,465.98,
2018-09-12,443.1,441.0,444.0,441.0,30700.0,0.0067,0.0067022605929798,-0.0787941787941783,-0.1379377431906611,464.055,465.254,
2018-09-13,450.0,443.2,457.95,443.1,12300.0,0.0156,0.0155721056194988,-0.0644490644490641,-0.1245136186770424,463.055,464.754,
2018-09-14,448.0,446.0,453.0,446.0,49320.0,-0.0044,-0.0044444444444444,-0.0686070686070683,-0.1284046692607,461.9549999999999,464.214,
2018-09-17,446.0,445.05,446.0,445.05,4510.0,-0.0045,-0.0044642857142856,-0.0727650727650724,-0.1322957198443577,460.50999999999993,463.634,
2018-09-18,447.7,446.0,448.5,446.0,25980.0,0.0038,0.003811659192825,-0.0692307692307691,-0.1289883268482489,459.395,463.1880000000001,
2018-09-19,448.0,446.0,448.0,446.0,12830.0,0.0007,0.0006700915791824,-0.0686070686070685,-0.1284046692607002,458.295,462.768,
2018-09-20,452.0,450.0,459.5,450.0,92510.0,0.0089,0.0089285714285713,-0.0602910602910602,-0.1206225680933851,457.39,462.565,
2018-09-21,451.0,450.5,454.0,450.0,41920.0,-0.0022,-0.0022123893805309,-0.0623700623700622,-0.1225680933852139,456.29,462.325,
2018-09-24,446.1,447.0,447.0,446.0,10530.0,-0.0109,-0.0108647450110864,-0.0725571725571724,-0.1321011673151749,454.895,461.987,
